date,attend
2016-07-11,1
2016-07-14,1
2016-07-18,1
2016-07-19,1
2016-07-21,1
2016-08-16,1
2016-08-17,1
2016-08-18,1
2016-08-19,1
2016-08-22,1
2016-08-24,1
2016-08-30,1
2016-08-31,1
2016-09-01,1
2016-09-05,1
2016-09-06,1
2016-09-07,1
2016-09-08,1
2016-09-12,1
2016-09-13,1
2016-09-14,1
2016-09-20,1
2016-09-21,1
2016-09-28,1
2016-09-29,1
2016-10-03,1
2016-10-04,1
2016-10-05,1
2016-10-11,1
2016-10-13,1
2016-10-18,1
2016-10-24,1
2016-10-26,1
2016-10-27,1
2016-11-01,1
2016-11-02,1
2017-02-27,1
2017-03-01,1
2017-03-06,1
2017-05-11,1
2017-05-15,1
2017-05-18,1
2017-05-25,1
2017-06-14,1
2017-06-19,1
2017-06-22,1
2017-06-26,1
2017-06-28,1
2017-07-03,1
2017-07-05,1
2017-07-07,1
2017-07-13,1
2017-07-20,1
2017-07-21,1
2017-07-25,1
2017-07-27,1
2017-07-31,1
2017-08-04,1
2017-08-08,1
2017-08-11,1
2017-08-14,1
2017-08-17,1
2017-08-22,1
2017-09-05,1
2017-09-08,1
2017-09-11,1
2017-09-14,1
2017-09-19,1
2017-09-21,1
2017-09-22,1
2017-09-25,1
2017-09-26,1
